name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
BG WT,E1,2,12/3/21,194.0,13.666666666666666,1.0,1.0,1.0,12.652777777777777,0.5892556509887897
BG WT,E2,2,12/3/21,198.0,8.0,0.5,2.0,1.0,6.986111111111111,0.11785113019775789
BG WT,E3,2,12/3/21,202.0,5.0,0.25,4.0,1.0,3.986111111111111,0.11785113019775789
BG WT,E4,2,12/3/21,206.0,3.0,0.125,8.0,1.0,1.9861111111111114,0.11785113019775789
BG WT,E5,2,12/3/21,210.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
BG WT,E6,2,12/3/21,214.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
BG WT,F1,2,12/3/21,242.0,16.0,1.0,1.0,1.0,14.986111111111109,0.11785113019775789
BG WT,F2,2,12/3/21,246.0,8.333333333333334,0.5,2.0,1.0,7.319444444444444,0.5892556509887897
BG WT,F3,2,12/3/21,250.0,5.333333333333333,0.25,4.0,1.0,4.319444444444444,0.5892556509887893
BG WT,F4,2,12/3/21,254.0,2.6666666666666665,0.125,8.0,1.0,1.652777777777778,0.5892556509887896
BG WT,F5,2,12/3/21,258.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
BG WT,F6,2,12/3/21,262.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
BG WT,G1,2,12/3/21,290.0,14.0,1.0,1.0,2.0,12.986111111111109,0.11785113019775789
BG WT,G2,2,12/3/21,294.0,8.666666666666666,0.5,2.0,2.0,7.652777777777778,0.5892556509887896
BG WT,G3,2,12/3/21,298.0,4.333333333333333,0.25,4.0,2.0,3.3194444444444446,0.5892556509887896
BG WT,G4,2,12/3/21,302.0,3.0,0.125,8.0,2.0,1.9861111111111114,0.11785113019775789
BG WT,G5,2,12/3/21,306.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
BG WT,G6,2,12/3/21,310.0,1.6666666666666667,0.03125,32.0,2.0,0.6527777777777778,0.5892556509887897
BG WT,H1,2,12/3/21,338.0,15.0,1.0,1.0,2.0,13.986111111111109,0.11785113019775789
BG WT,H2,2,12/3/21,342.0,9.0,0.5,2.0,2.0,7.986111111111111,0.11785113019775789
BG WT,H3,2,12/3/21,346.0,5.0,0.25,4.0,2.0,3.986111111111111,0.11785113019775789
BG WT,H4,2,12/3/21,350.0,2.6666666666666665,0.125,8.0,2.0,1.652777777777778,0.5892556509887896
BG WT,H5,2,12/3/21,354.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
BG WT,H6,2,12/3/21,358.0,1.6666666666666667,0.03125,32.0,2.0,0.6527777777777778,0.5892556509887897
BG dtox,A10,2,12/3/21,38.0,3.0,0.125,8.0,1.0,1.9861111111111114,0.11785113019775789
BG dtox,A11,2,12/3/21,42.0,1.6666666666666667,0.0625,16.0,1.0,0.6527777777777778,0.5892556509887897
BG dtox,A12,2,12/3/21,46.0,1.0,0.03125,32.0,1.0,-0.01388888888888884,0.11785113019775789
BG dtox,A7,2,12/3/21,26.0,12.0,1.0,1.0,1.0,10.986111111111109,0.11785113019775789
BG dtox,A8,2,12/3/21,30.0,7.0,0.5,2.0,1.0,5.986111111111111,0.11785113019775789
BG dtox,A9,2,12/3/21,34.0,4.0,0.25,4.0,1.0,2.986111111111111,0.11785113019775789
BG dtox,B10,2,12/3/21,86.0,2.3333333333333335,0.125,8.0,1.0,1.3194444444444444,0.5892556509887897
BG dtox,B11,2,12/3/21,90.0,1.6666666666666667,0.0625,16.0,1.0,0.6527777777777778,0.5892556509887897
BG dtox,B12,2,12/3/21,94.0,1.0,0.03125,32.0,1.0,-0.01388888888888884,0.11785113019775789
BG dtox,B7,2,12/3/21,74.0,12.666666666666666,1.0,1.0,1.0,11.652777777777777,0.5892556509887897
BG dtox,B8,2,12/3/21,78.0,7.333333333333333,0.5,2.0,1.0,6.319444444444444,0.5892556509887896
BG dtox,B9,2,12/3/21,82.0,4.0,0.25,4.0,1.0,2.986111111111111,0.11785113019775789
BG dtox,C10,2,12/3/21,134.0,2.6666666666666665,0.125,8.0,2.0,1.652777777777778,0.5892556509887896
BG dtox,C11,2,12/3/21,138.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
BG dtox,C12,2,12/3/21,142.0,1.3333333333333333,0.03125,32.0,2.0,0.3194444444444445,0.5892556509887897
BG dtox,C7,2,12/3/21,122.0,12.333333333333334,1.0,1.0,2.0,11.319444444444443,0.5892556509887894
BG dtox,C8,2,12/3/21,126.0,7.666666666666667,0.5,2.0,2.0,6.652777777777778,0.5892556509887896
BG dtox,C9,2,12/3/21,130.0,4.666666666666667,0.25,4.0,2.0,3.652777777777778,0.5892556509887897
BG dtox,D10,2,12/3/21,182.0,3.0,0.125,8.0,2.0,1.9861111111111114,0.11785113019775789
BG dtox,D11,2,12/3/21,186.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
BG dtox,D12,2,12/3/21,190.0,1.3333333333333333,0.03125,32.0,2.0,0.3194444444444445,0.5892556509887897
BG dtox,D7,2,12/3/21,170.0,13.666666666666666,1.0,1.0,2.0,12.652777777777777,0.5892556509887894
BG dtox,D8,2,12/3/21,174.0,7.666666666666667,0.5,2.0,2.0,6.652777777777778,0.5892556509887896
BG dtox,D9,2,12/3/21,178.0,4.0,0.25,4.0,2.0,2.986111111111111,0.11785113019775789
BLANK,E10,2,12/3/21,230.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,E11,2,12/3/21,234.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,E12,2,12/3/21,238.0,1.3333333333333333,1.0,1.0,1.0,0.3194444444444445,0.5892556509887897
BLANK,E7,2,12/3/21,218.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,E8,2,12/3/21,222.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,E9,2,12/3/21,226.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F10,2,12/3/21,278.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F11,2,12/3/21,282.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F12,2,12/3/21,286.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F7,2,12/3/21,266.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F8,2,12/3/21,270.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,F9,2,12/3/21,274.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G10,2,12/3/21,326.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G11,2,12/3/21,330.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G12,2,12/3/21,334.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G7,2,12/3/21,314.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G8,2,12/3/21,318.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,G9,2,12/3/21,322.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H10,2,12/3/21,374.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H11,2,12/3/21,378.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H12,2,12/3/21,382.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H7,2,12/3/21,362.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H8,2,12/3/21,366.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
BLANK,H9,2,12/3/21,370.0,1.0,1.0,1.0,1.0,-0.01388888888888884,0.11785113019775789
EC WT,A1,2,12/3/21,2.0,39.333333333333336,1.0,1.0,1.0,38.31944444444445,0.5892556509887901
EC WT,A2,2,12/3/21,6.0,20.0,0.5,2.0,1.0,18.98611111111111,0.11785113019775789
EC WT,A3,2,12/3/21,10.0,9.666666666666666,0.25,4.0,1.0,8.652777777777777,0.5892556509887894
EC WT,A4,2,12/3/21,14.0,5.666666666666667,0.125,8.0,1.0,4.652777777777778,0.5892556509887894
EC WT,A5,2,12/3/21,18.0,3.0,0.0625,16.0,1.0,1.9861111111111114,0.11785113019775789
EC WT,A6,2,12/3/21,22.0,2.3333333333333335,0.03125,32.0,1.0,1.3194444444444444,0.5892556509887896
EC WT,B1,2,12/3/21,50.0,40.666666666666664,1.0,1.0,1.0,39.65277777777778,0.5892556509887886
EC WT,B2,2,12/3/21,54.0,20.0,0.5,2.0,1.0,18.98611111111111,0.11785113019775789
EC WT,B3,2,12/3/21,58.0,11.333333333333334,0.25,4.0,1.0,10.319444444444445,0.5892556509887894
EC WT,B4,2,12/3/21,62.0,6.0,0.125,8.0,1.0,4.986111111111111,0.11785113019775789
EC WT,B5,2,12/3/21,66.0,4.0,0.0625,16.0,1.0,2.986111111111111,0.11785113019775789
EC WT,B6,2,12/3/21,70.0,2.3333333333333335,0.03125,32.0,1.0,1.3194444444444444,0.5892556509887897
EC WT,C1,2,12/3/21,98.0,38.666666666666664,1.0,1.0,2.0,37.65277777777778,0.5892556509887901
EC WT,C2,2,12/3/21,102.0,21.0,0.5,2.0,2.0,19.98611111111111,0.11785113019775789
EC WT,C3,2,12/3/21,106.0,9.333333333333334,0.25,4.0,2.0,8.319444444444445,0.5892556509887894
EC WT,C4,2,12/3/21,110.0,5.0,0.125,8.0,2.0,3.986111111111111,0.11785113019775789
EC WT,C5,2,12/3/21,114.0,3.3333333333333335,0.0625,16.0,2.0,2.3194444444444446,0.5892556509887897
EC WT,C6,2,12/3/21,118.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
EC WT,D1,2,12/3/21,146.0,40.666666666666664,1.0,1.0,2.0,39.65277777777778,0.5892556509887901
EC WT,D2,2,12/3/21,150.0,20.666666666666668,0.5,2.0,2.0,19.652777777777775,0.5892556509887894
EC WT,D3,2,12/3/21,154.0,11.0,0.25,4.0,2.0,9.98611111111111,0.11785113019775789
EC WT,D4,2,12/3/21,158.0,5.0,0.125,8.0,2.0,3.986111111111111,0.11785113019775789
EC WT,D5,2,12/3/21,162.0,4.0,0.0625,16.0,2.0,2.986111111111111,0.11785113019775789
EC WT,D6,2,12/3/21,166.0,2.3333333333333335,0.03125,32.0,2.0,1.3194444444444444,0.5892556509887896
PA14 WT,A1,1,12/3/21,2.0,57.0,1.0,1.0,1.0,55.986111111111114,0.11785113019775789
PA14 WT,A2,1,12/3/21,6.0,31.0,0.5,2.0,1.0,29.98611111111111,0.11785113019775789
PA14 WT,A3,1,12/3/21,10.0,20.333333333333332,0.25,4.0,1.0,19.319444444444443,0.5892556509887894
PA14 WT,A4,1,12/3/21,14.0,10.666666666666666,0.125,8.0,1.0,9.652777777777777,0.5892556509887897
PA14 WT,A5,1,12/3/21,18.0,6.666666666666667,0.0625,16.0,1.0,5.652777777777778,0.5892556509887896
PA14 WT,A6,1,12/3/21,22.0,4.0,0.03125,32.0,1.0,2.986111111111111,0.11785113019775789
PA14 WT,B1,1,12/3/21,50.0,68.33333333333333,1.0,1.0,1.0,67.31944444444444,0.5892556509887886
PA14 WT,B2,1,12/3/21,54.0,34.666666666666664,0.5,2.0,1.0,33.65277777777778,0.5892556509887901
PA14 WT,B3,1,12/3/21,58.0,20.0,0.25,4.0,1.0,18.98611111111111,0.11785113019775789
PA14 WT,B4,1,12/3/21,62.0,12.0,0.125,8.0,1.0,10.986111111111109,0.11785113019775789
PA14 WT,B5,1,12/3/21,66.0,6.666666666666667,0.0625,16.0,1.0,5.652777777777778,0.5892556509887897
PA14 WT,B6,1,12/3/21,70.0,4.0,0.03125,32.0,1.0,2.986111111111111,0.11785113019775789
PA14 WT,C1,1,12/3/21,98.0,62.333333333333336,1.0,1.0,2.0,61.31944444444445,0.5892556509887901
PA14 WT,C2,1,12/3/21,102.0,35.0,0.5,2.0,2.0,33.986111111111114,0.11785113019775789
PA14 WT,C3,1,12/3/21,106.0,22.0,0.25,4.0,2.0,20.98611111111111,0.11785113019775789
PA14 WT,C4,1,12/3/21,110.0,12.0,0.125,8.0,2.0,10.986111111111109,0.11785113019775789
PA14 WT,C5,1,12/3/21,114.0,7.0,0.0625,16.0,2.0,5.986111111111111,0.11785113019775789
PA14 WT,C6,1,12/3/21,118.0,4.0,0.03125,32.0,2.0,2.986111111111111,0.11785113019775789
PA14 WT,D1,1,12/3/21,146.0,71.0,1.0,1.0,2.0,69.98611111111111,0.11785113019775789
PA14 WT,D2,1,12/3/21,150.0,38.0,0.5,2.0,2.0,36.986111111111114,0.11785113019775789
PA14 WT,D3,1,12/3/21,154.0,23.0,0.25,4.0,2.0,21.98611111111111,0.11785113019775789
PA14 WT,D4,1,12/3/21,158.0,11.0,0.125,8.0,2.0,9.98611111111111,0.11785113019775789
PA14 WT,D5,1,12/3/21,162.0,7.0,0.0625,16.0,2.0,5.986111111111111,0.11785113019775789
PA14 WT,D6,1,12/3/21,166.0,3.6666666666666665,0.03125,32.0,2.0,2.652777777777778,0.5892556509887897
PA14 dphz,E1,1,12/3/21,194.0,15.0,1.0,1.0,1.0,13.986111111111109,0.11785113019775789
PA14 dphz,E2,1,12/3/21,198.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz,E3,1,12/3/21,202.0,5.333333333333333,0.25,4.0,1.0,4.319444444444444,0.5892556509887894
PA14 dphz,E4,1,12/3/21,206.0,4.0,0.125,8.0,1.0,2.986111111111111,0.11785113019775789
PA14 dphz,E5,1,12/3/21,210.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz,E6,1,12/3/21,214.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz,F1,1,12/3/21,242.0,17.666666666666668,1.0,1.0,1.0,16.652777777777775,0.5892556509887901
PA14 dphz,F2,1,12/3/21,246.0,9.666666666666666,0.5,2.0,1.0,8.652777777777777,0.5892556509887897
PA14 dphz,F3,1,12/3/21,250.0,5.0,0.25,4.0,1.0,3.986111111111111,0.11785113019775789
PA14 dphz,F4,1,12/3/21,254.0,3.6666666666666665,0.125,8.0,1.0,2.652777777777778,0.5892556509887897
PA14 dphz,F5,1,12/3/21,258.0,2.3333333333333335,0.0625,16.0,1.0,1.3194444444444444,0.5892556509887897
PA14 dphz,F6,1,12/3/21,262.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
PA14 dphz,G1,1,12/3/21,290.0,13.0,1.0,1.0,2.0,11.986111111111109,0.11785113019775789
PA14 dphz,G2,1,12/3/21,294.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz,G3,1,12/3/21,298.0,5.0,0.25,4.0,2.0,3.986111111111111,0.11785113019775789
PA14 dphz,G4,1,12/3/21,302.0,3.0,0.125,8.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dphz,G5,1,12/3/21,306.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz,G6,1,12/3/21,310.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz,H1,1,12/3/21,338.0,14.0,1.0,1.0,2.0,12.986111111111109,0.11785113019775789
PA14 dphz,H2,1,12/3/21,342.0,7.333333333333333,0.5,2.0,2.0,6.319444444444444,0.5892556509887897
PA14 dphz,H3,1,12/3/21,346.0,5.0,0.25,4.0,2.0,3.986111111111111,0.11785113019775789
PA14 dphz,H4,1,12/3/21,350.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887896
PA14 dphz,H5,1,12/3/21,354.0,2.6666666666666665,0.0625,16.0,2.0,1.652777777777778,0.5892556509887896
PA14 dphz,H6,1,12/3/21,358.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E10,1,12/3/21,230.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,E11,1,12/3/21,234.0,2.0,0.0625,16.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E12,1,12/3/21,238.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,E7,1,12/3/21,218.0,14.0,1.0,1.0,1.0,12.986111111111109,0.11785113019775789
PA14 dphz dside,E8,1,12/3/21,222.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz dside,E9,1,12/3/21,226.0,5.666666666666667,0.25,4.0,1.0,4.652777777777778,0.5892556509887894
PA14 dphz dside,F10,1,12/3/21,278.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,F11,1,12/3/21,282.0,2.6666666666666665,0.0625,16.0,1.0,1.652777777777778,0.5892556509887896
PA14 dphz dside,F12,1,12/3/21,286.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,F7,1,12/3/21,266.0,16.0,1.0,1.0,1.0,14.986111111111109,0.11785113019775789
PA14 dphz dside,F8,1,12/3/21,270.0,9.0,0.5,2.0,1.0,7.986111111111111,0.11785113019775789
PA14 dphz dside,F9,1,12/3/21,274.0,5.0,0.25,4.0,1.0,3.986111111111111,0.11785113019775789
PA14 dphz dside,G10,1,12/3/21,326.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887896
PA14 dphz dside,G11,1,12/3/21,330.0,2.0,0.0625,16.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,G12,1,12/3/21,334.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,G7,1,12/3/21,314.0,14.0,1.0,1.0,2.0,12.986111111111109,0.11785113019775789
PA14 dphz dside,G8,1,12/3/21,318.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz dside,G9,1,12/3/21,322.0,4.666666666666667,0.25,4.0,2.0,3.652777777777778,0.5892556509887897
PA14 dphz dside,H10,1,12/3/21,374.0,3.3333333333333335,0.125,8.0,2.0,2.3194444444444446,0.5892556509887897
PA14 dphz dside,H11,1,12/3/21,378.0,2.3333333333333335,0.0625,16.0,2.0,1.3194444444444444,0.5892556509887896
PA14 dphz dside,H12,1,12/3/21,382.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dphz dside,H7,1,12/3/21,362.0,15.666666666666666,1.0,1.0,2.0,14.652777777777777,0.5892556509887897
PA14 dphz dside,H8,1,12/3/21,366.0,8.0,0.5,2.0,2.0,6.986111111111111,0.11785113019775789
PA14 dphz dside,H9,1,12/3/21,370.0,4.666666666666667,0.25,4.0,2.0,3.652777777777778,0.5892556509887897
PA14 dside,A10,1,12/3/21,38.0,4.0,0.125,8.0,1.0,2.986111111111111,0.11785113019775789
PA14 dside,A11,1,12/3/21,42.0,3.0,0.0625,16.0,1.0,1.9861111111111114,0.11785113019775789
PA14 dside,A12,1,12/3/21,46.0,2.0,0.03125,32.0,1.0,0.9861111111111112,0.11785113019775789
PA14 dside,A7,1,12/3/21,26.0,24.0,1.0,1.0,1.0,22.98611111111111,0.11785113019775789
PA14 dside,A8,1,12/3/21,30.0,12.0,0.5,2.0,1.0,10.986111111111109,0.11785113019775789
PA14 dside,A9,1,12/3/21,34.0,7.0,0.25,4.0,1.0,5.986111111111111,0.11785113019775789
PA14 dside,B10,1,12/3/21,86.0,3.3333333333333335,0.125,8.0,1.0,2.3194444444444446,0.5892556509887896
PA14 dside,B11,1,12/3/21,90.0,3.0,0.0625,16.0,1.0,1.9861111111111114,0.11785113019775789
PA14 dside,B12,1,12/3/21,94.0,1.6666666666666667,0.03125,32.0,1.0,0.6527777777777778,0.5892556509887897
PA14 dside,B7,1,12/3/21,74.0,26.0,1.0,1.0,1.0,24.98611111111111,0.11785113019775789
PA14 dside,B8,1,12/3/21,78.0,12.0,0.5,2.0,1.0,10.986111111111109,0.11785113019775789
PA14 dside,B9,1,12/3/21,82.0,7.0,0.25,4.0,1.0,5.986111111111111,0.11785113019775789
PA14 dside,C10,1,12/3/21,134.0,4.333333333333333,0.125,8.0,2.0,3.3194444444444446,0.5892556509887896
PA14 dside,C11,1,12/3/21,138.0,3.0,0.0625,16.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dside,C12,1,12/3/21,142.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dside,C7,1,12/3/21,122.0,34.0,1.0,1.0,2.0,32.986111111111114,0.11785113019775789
PA14 dside,C8,1,12/3/21,126.0,15.0,0.5,2.0,2.0,13.986111111111109,0.11785113019775789
PA14 dside,C9,1,12/3/21,130.0,10.0,0.25,4.0,2.0,8.98611111111111,0.11785113019775789
PA14 dside,D10,1,12/3/21,182.0,5.0,0.125,8.0,2.0,3.986111111111111,0.11785113019775789
PA14 dside,D11,1,12/3/21,186.0,3.0,0.0625,16.0,2.0,1.9861111111111114,0.11785113019775789
PA14 dside,D12,1,12/3/21,190.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
PA14 dside,D7,1,12/3/21,170.0,33.0,1.0,1.0,2.0,31.98611111111111,0.11785113019775789
PA14 dside,D8,1,12/3/21,174.0,16.666666666666668,0.5,2.0,2.0,15.652777777777777,0.5892556509887897
PA14 dside,D9,1,12/3/21,178.0,9.0,0.25,4.0,2.0,7.986111111111111,0.11785113019775789
